[2021-04-14 16:10] stock_info 스크랩 시작!
[2021-04-14 16:10] (KRX신규상장종목) 업데이트 체크 시작
[2021-04-14 16:10] (KRX신규상장종목) 업데이트 체크 종료
[2021-04-14 16:10] (KRX상장폐지종목) 업데이트 체크 시작
[2021-04-14 16:10] (KRX상장폐지종목) 업데이트 체크 종료
[2021-04-14 16:10] (0000/2300) 동화약품 스크랩 완료
[2021-04-14 16:10] (0001/2300) KR모터스 스크랩 완료
[2021-04-14 16:10] (0002/2300) 경방 스크랩 완료
[2021-04-14 16:10] (0003/2300) 메리츠화재 스크랩 완료
[2021-04-14 16:10] (0004/2300) 삼양홀딩스 스크랩 완료
[2021-04-14 16:10] (0005/2300) 하이트진로 스크랩 완료
[2021-04-14 16:10] (0006/2300) 유한양행 스크랩 완료
[2021-04-14 16:10] (0007/2300) CJ대한통운 스크랩 완료
[2021-04-14 16:10] (0008/2300) 하이트진로홀딩스 스크랩 완료
[2021-04-14 16:10] (0009/2300) 두산 스크랩 완료
[2021-04-14 16:10] (0010/2300) 성창기업지주 스크랩 완료
[2021-04-14 16:10] (0011/2300) DL 스크랩 완료
[2021-04-14 16:10] (0012/2300) 유유제약 스크랩 완료
[2021-04-14 16:10] (0013/2300) 일동홀딩스 스크랩 완료
[2021-04-14 16:10] (0014/2300) 한국앤컴퍼니 스크랩 완료
[2021-04-14 16:10] (0015/2300) 삼천당제약 스크랩 완료
[2021-04-14 16:10] (0016/2300) 기아 스크랩 완료
[2021-04-14 16:10] (0017/2300) 대유플러스 스크랩 완료
[2021-04-14 16:10] (0018/2300) 노루홀딩스 스크랩 완료
[2021-04-14 16:10] (0019/2300) 한화손해보험 스크랩 완료
[2021-04-14 16:10] (0020/2300) 삼화페인트공업 스크랩 완료
[2021-04-14 16:10] (0021/2300) 롯데손해보험 스크랩 완료
[2021-04-14 16:10] (0022/2300) 대원강업 스크랩 완료
[2021-04-14 16:10] (0023/2300) 중앙에너비스 스크랩 완료
[2021-04-14 16:10] (0024/2300) 조선내화 스크랩 완료
[2021-04-14 16:10] (0025/2300) 대동공업 스크랩 완료
[2021-04-14 16:10] (0026/2300) 가온전선 스크랩 완료
[2021-04-14 16:10] (0027/2300) 삼일제약 스크랩 완료
[2021-04-14 16:10] (0028/2300) 흥국화재 스크랩 완료
[2021-04-14 16:10] (0029/2300) CS홀딩스 스크랩 완료
[2021-04-14 16:10] (0030/2300) 동아쏘시오홀딩스 스크랩 완료
[2021-04-14 16:10] (0031/2300) 천일고속 스크랩 완료
[2021-04-14 16:10] (0032/2300) SK하이닉스 스크랩 완료
[2021-04-14 16:10] (0033/2300) 영풍 스크랩 완료
[2021-04-14 16:10] (0034/2300) LS네트웍스 스크랩 완료
[2021-04-14 16:10] (0035/2300) 유수홀딩스 스크랩 완료
[2021-04-14 16:10] (0036/2300) 현대건설 스크랩 완료
[2021-04-14 16:10] (0037/2300) 이화산업 스크랩 완료
[2021-04-14 16:10] (0038/2300) 삼성화재해상보험 스크랩 완료
[2021-04-14 16:10] (0039/2300) 화천기공 스크랩 완료
[2021-04-14 16:10] (0040/2300) 강남제비스코 스크랩 완료
[2021-04-14 16:10] (0041/2300) 한화 스크랩 완료
[2021-04-14 16:10] (0042/2300) 보해양조 스크랩 완료
[2021-04-14 16:10] (0043/2300) 유니온 스크랩 완료
[2021-04-14 16:10] (0044/2300) 전방 스크랩 완료
[2021-04-14 16:10] (0045/2300) 한국주철관공업 스크랩 완료
[2021-04-14 16:10] (0046/2300) DB하이텍 스크랩 완료
[2021-04-14 16:10] (0047/2300) 신라섬유 스크랩 완료
[2021-04-14 16:10] (0048/2300) 페이퍼코리아 스크랩 완료
[2021-04-14 16:10] (0049/2300) CJ 스크랩 완료
[2021-04-14 16:10] (0050/2300) JW중외제약 스크랩 완료
[2021-04-14 16:10] (0051/2300) 대한방직 스크랩 완료
[2021-04-14 16:10] (0052/2300) 만호제강 스크랩 완료
[2021-04-14 16:10] (0053/2300) LG상사 스크랩 완료
[2021-04-14 16:10] (0054/2300) 대한제분 스크랩 완료
[2021-04-14 16:10] (0055/2300) 국보 스크랩 완료
[2021-04-14 16:10] (0056/2300) 유진증권 스크랩 완료
[2021-04-14 16:10] (0057/2300) 금호전기 스크랩 완료
[2021-04-14 16:10] (0058/2300) 동국제강 스크랩 완료
[2021-04-14 16:10] (0059/2300) GS글로벌 스크랩 완료
[2021-04-14 16:10] (0060/2300) 남광토건 스크랩 완료
[2021-04-14 16:10] (0061/2300) 부국증권 스크랩 완료
[2021-04-14 16:10] (0062/2300) 상상인증권 스크랩 완료
[2021-04-14 16:10] (0063/2300) 백광산업 스크랩 완료
[2021-04-14 16:10] (0064/2300) 삼성제약 스크랩 완료
[2021-04-14 16:10] (0065/2300) SG충방 스크랩 완료
[2021-04-14 16:10] (0066/2300) KG케미칼 스크랩 완료
[2021-04-14 16:10] (0067/2300) 태원물산 스크랩 완료
[2021-04-14 16:10] (0068/2300) 세아베스틸 스크랩 완료
[2021-04-14 16:10] (0069/2300) 대한전선 스크랩 완료
[2021-04-14 16:10] (0070/2300) 현대해상 스크랩 완료
[2021-04-14 16:10] (0071/2300) BYC 스크랩 완료
[2021-04-14 16:10] (0072/2300) 삼부토건 스크랩 완료
[2021-04-14 16:10] (0073/2300) 현대차증권 스크랩 완료
[2021-04-14 16:10] (0074/2300) SK증권 스크랩 완료
[2021-04-14 16:10] (0075/2300) 동양 스크랩 완료
[2021-04-14 16:10] (0076/2300) 디아이동일 스크랩 완료
[2021-04-14 16:10] (0077/2300) 안국약품 스크랩 완료
[2021-04-14 16:10] (0078/2300) 조비 스크랩 완료
[2021-04-14 16:10] (0079/2300) 제일연마 스크랩 완료
[2021-04-14 16:10] (0080/2300) 금양 스크랩 완료
[2021-04-14 16:10] (0081/2300) 케이비아이동국실업 스크랩 완료
[2021-04-14 16:10] (0082/2300) 종근당홀딩스 스크랩 완료
[2021-04-14 16:10] (0083/2300) 대상 스크랩 완료
[2021-04-14 16:10] (0084/2300) 신영증권 스크랩 완료
[2021-04-14 16:10] (0085/2300) SK네트웍스 스크랩 완료
[2021-04-14 16:10] (0086/2300) 한양증권 스크랩 완료
[2021-04-14 16:10] (0087/2300) 신화실업 스크랩 완료
[2021-04-14 16:10] (0088/2300) 알루코 스크랩 완료
[2021-04-14 16:10] (0089/2300) 대한제당 스크랩 완료
[2021-04-14 16:10] (0090/2300) 오리온홀딩스 스크랩 완료
[2021-04-14 16:10] (0091/2300) 무림SP 스크랩 완료
[2021-04-14 16:10] (0092/2300) 삼화콘덴서공업 스크랩 완료
[2021-04-14 16:10] (0093/2300) 이화공영 스크랩 완료
[2021-04-14 16:10] (0094/2300) DL건설 스크랩 완료
[2021-04-14 16:10] (0095/2300) KISCO홀딩스 스크랩 완료
[2021-04-14 16:10] (0096/2300) 코오롱 스크랩 완료
[2021-04-14 16:10] (0097/2300) 아세아 스크랩 완료
[2021-04-14 16:10] (0098/2300) 비비안 스크랩 완료
[2021-04-14 16:10] (0099/2300) 경농 스크랩 완료
[2021-04-14 16:10] (0100/2300) 고려산업 스크랩 완료
[2021-04-14 16:10] (0101/2300) 도화엔지니어링 스크랩 완료
[2021-04-14 16:10] (0102/2300) 삼양통상 스크랩 완료
[2021-04-14 16:10] (0103/2300) 한국수출포장공업 스크랩 완료
[2021-04-14 16:10] (0104/2300) 동성제약 스크랩 완료
[2021-04-14 16:10] (0105/2300) 한일철강 스크랩 완료
[2021-04-14 16:10] (0106/2300) 피에스텍 스크랩 완료
[2021-04-14 16:10] (0107/2300) 고려제강 스크랩 완료
[2021-04-14 16:10] (0108/2300) 롯데푸드 스크랩 완료
[2021-04-14 16:10] (0109/2300) 삼일기업공사 스크랩 완료
[2021-04-14 16:10] (0110/2300) 아세아제지 스크랩 완료
[2021-04-14 16:10] (0111/2300) 한진 스크랩 완료
[2021-04-14 16:10] (0112/2300) 넥센타이어 스크랩 완료
[2021-04-14 16:10] (0113/2300) SH에너지화학 스크랩 완료
[2021-04-14 16:10] (0114/2300) 케이씨씨 스크랩 완료
[2021-04-14 16:10] (0115/2300) 한독 스크랩 완료
[2021-04-14 16:10] (0116/2300) 범양건영 스크랩 완료
[2021-04-14 16:10] (0117/2300) 세기상사 스크랩 완료
[2021-04-14 16:10] (0118/2300) 삼익악기 스크랩 완료
[2021-04-14 16:10] (0119/2300) 화성산업 스크랩 완료
[2021-04-14 16:10] (0120/2300) 조흥 스크랩 완료
[2021-04-14 16:10] (0121/2300) 제일파마홀딩스 스크랩 완료
[2021-04-14 16:10] (0122/2300) 오리엔트바이오 스크랩 완료
[2021-04-14 16:10] (0123/2300) 한탑 스크랩 완료
[2021-04-14 16:10] (0124/2300) 동일제강 스크랩 완료
[2021-04-14 16:10] (0125/2300) 신일전자 스크랩 완료
[2021-04-14 16:10] (0126/2300) TCC스틸 스크랩 완료
[2021-04-14 16:10] (0127/2300) 국제약품 스크랩 완료
[2021-04-14 16:10] (0128/2300) 보락 스크랩 완료
[2021-04-14 16:10] (0129/2300) 진흥기업 스크랩 완료
[2021-04-14 16:10] (0130/2300) 아모레퍼시픽그룹 스크랩 완료
[2021-04-14 16:10] (0131/2300) 신신제약 스크랩 완료
[2021-04-14 16:10] (0132/2300) 삼영무역 스크랩 완료
[2021-04-14 16:10] (0133/2300) SUN&L 스크랩 완료
[2021-04-14 16:10] (0134/2300) 미원상사 스크랩 완료
[2021-04-14 16:10] (0135/2300) 신풍제지 스크랩 완료
[2021-04-14 16:10] (0136/2300) 대유에이텍 스크랩 완료
[2021-04-14 16:10] (0137/2300) TYM 스크랩 완료
[2021-04-14 16:10] (0138/2300) 유성기업 스크랩 완료
[2021-04-14 16:10] (0139/2300) 한국쉘석유 스크랩 완료
[2021-04-14 16:10] (0140/2300) 금호건설 스크랩 완료
[2021-04-14 16:10] (0141/2300) 부광약품 스크랩 완료
[2021-04-14 16:10] (0142/2300) 혜인 스크랩 완료
[2021-04-14 16:10] (0143/2300) 세아제강지주 스크랩 완료
[2021-04-14 16:10] (0144/2300) 에이프로젠제약 스크랩 완료
[2021-04-14 16:10] (0145/2300) 코오롱글로벌 스크랩 완료
[2021-04-14 16:10] (0146/2300) 성보화학 스크랩 완료
[2021-04-14 16:10] (0147/2300) 대웅 스크랩 완료
[2021-04-14 16:10] (0148/2300) 선광 스크랩 완료
[2021-04-14 16:10] (0149/2300) 일성신약 스크랩 완료
[2021-04-14 16:10] (0150/2300) 디아이 스크랩 완료
[2021-04-14 16:10] (0151/2300) 일신방직 스크랩 완료
[2021-04-14 16:10] (0152/2300) 대원제약 스크랩 완료
[2021-04-14 16:10] (0153/2300) 삼양식품 스크랩 완료
[2021-04-14 16:10] (0154/2300) 태광산업 스크랩 완료
[2021-04-14 16:10] (0155/2300) 흥아해운 스크랩 완료
[2021-04-14 16:10] (0156/2300) 한일홀딩스 스크랩 완료
[2021-04-14 16:10] (0157/2300) 대주산업 스크랩 완료
[2021-04-14 16:10] (0158/2300) 한국화장품제조 스크랩 완료
[2021-04-14 16:10] (0159/2300) 하림지주 스크랩 완료
[2021-04-14 16:10] (0160/2300) 쌍용씨앤이 스크랩 완료
[2021-04-14 16:10] (0161/2300) 유화증권 스크랩 완료
[2021-04-14 16:10] (0162/2300) 유안타증권 스크랩 완료
[2021-04-14 16:10] (0163/2300) 한진중공업홀딩스 스크랩 완료
[2021-04-14 16:10] (0164/2300) 대한항공 스크랩 완료
[2021-04-14 16:10] (0165/2300) 영진약품 스크랩 완료
[2021-04-14 16:10] (0166/2300) 한화투자증권 스크랩 완료
[2021-04-14 16:10] (0167/2300) 대신증권 스크랩 완료
[2021-04-14 16:10] (0168/2300) LG 스크랩 완료
[2021-04-14 16:10] (0169/2300) 아이에이치큐 스크랩 완료
[2021-04-14 16:10] (0170/2300) SNT중공업 스크랩 완료
[2021-04-14 16:10] (0171/2300) 넥스트사이언스 스크랩 완료
[2021-04-14 16:10] (0172/2300) 방림 스크랩 완료
[2021-04-14 16:10] (0173/2300) 쌍용자동차 스크랩 완료
[2021-04-14 16:10] (0174/2300) 미창석유공업 스크랩 완료
[2021-04-14 16:10] (0175/2300) 포스코케미칼 스크랩 완료
[2021-04-14 16:10] (0176/2300) 한성기업 스크랩 완료
[2021-04-14 16:10] (0177/2300) 코리안리 스크랩 완료
[2021-04-14 16:10] (0178/2300) 삼영화학공업 스크랩 완료
[2021-04-14 16:10] (0179/2300) 진양산업 스크랩 완료
[2021-04-14 16:10] (0180/2300) 에이스침대 스크랩 완료
[2021-04-14 16:10] (0181/2300) 대한화섬 스크랩 완료
[2021-04-14 16:10] (0182/2300) 보령제약 스크랩 완료
[2021-04-14 16:10] (0183/2300) 남양유업 스크랩 완료
[2021-04-14 16:10] (0184/2300) 사조대림 스크랩 완료
[2021-04-14 16:10] (0185/2300) 롯데정밀화학 스크랩 완료
[2021-04-14 16:10] (0186/2300) 현대제철 스크랩 완료
[2021-04-14 16:10] (0187/2300) SG세계물산 스크랩 완료
[2021-04-14 16:10] (0188/2300) 신흥 스크랩 완료
[2021-04-14 16:10] (0189/2300) 한국석유공업 스크랩 완료
[2021-04-14 16:10] (0190/2300) 태양금속공업 스크랩 완료
[2021-04-14 16:10] (0191/2300) 동방 스크랩 완료
[2021-04-14 16:10] (0192/2300) 한솔홀딩스 스크랩 완료
[2021-04-14 16:10] (0193/2300) 신세계 스크랩 완료
[2021-04-14 16:10] (0194/2300) 엔피씨 스크랩 완료
[2021-04-14 16:10] (0195/2300) 남성 스크랩 완료
[2021-04-14 16:10] (0196/2300) 현대약품 스크랩 완료
[2021-04-14 16:10] (0197/2300) 세방 스크랩 완료
[2021-04-14 16:10] (0198/2300) 농심 스크랩 완료
[2021-04-14 16:10] (0199/2300) 삼익THK 스크랩 완료
[2021-04-14 16:10] (0200/2300) 서울식품공업 스크랩 완료
[2021-04-14 16:10] (0201/2300) 송원산업 스크랩 완료
[2021-04-14 16:10] (0202/2300) 삼일씨엔에스 스크랩 완료
[2021-04-14 16:10] (0203/2300) 삼화왕관 스크랩 완료
[2021-04-14 16:10] (0204/2300) 세방전지 스크랩 완료
[2021-04-14 16:10] (0205/2300) 깨끗한나라 스크랩 완료
[2021-04-14 16:10] (0206/2300) 현대비앤지스틸 스크랩 완료
[2021-04-14 16:10] (0207/2300) 한국가구 스크랩 완료
[2021-04-14 16:10] (0208/2300) 창해에탄올 스크랩 완료
[2021-04-14 16:10] (0209/2300) 삼천리 스크랩 완료
[2021-04-14 16:10] (0210/2300) 조광피혁 스크랩 완료
[2021-04-14 16:10] (0211/2300) 한솔테크닉스 스크랩 완료
[2021-04-14 16:10] (0212/2300) 우리들제약 스크랩 완료
[2021-04-14 16:10] (0213/2300) 써니전자 스크랩 완료
[2021-04-14 16:10] (0214/2300) 대륙제관 스크랩 완료
[2021-04-14 16:10] (0215/2300) 효성 스크랩 완료
[2021-04-14 16:10] (0216/2300) 덕성 스크랩 완료
[2021-04-14 16:10] (0217/2300) DRB동일 스크랩 완료
[2021-04-14 16:10] (0218/2300) 티웨이홀딩스 스크랩 완료
[2021-04-14 16:10] (0219/2300) 동일산업 스크랩 완료
[2021-04-14 16:10] (0220/2300) 조광페인트 스크랩 완료
[2021-04-14 16:10] (0221/2300) 씨아이테크 스크랩 완료
[2021-04-14 16:10] (0222/2300) 한신공영 스크랩 완료
