[2021-04-19 20:12] stock_info 스크랩 시작!
[2021-04-19 20:12] (KRX신규상장종목) 업데이트 체크 시작
[2021-04-19 20:12] (KRX신규상장종목) 업데이트 체크 종료
[2021-04-19 20:12] (KRX상장폐지종목) 업데이트 체크 시작
[2021-04-19 20:12] (KRX상장폐지종목) 업데이트 체크 종료
[2021-04-19 20:12] (0000/2297) 동화약품 스크랩 완료
[2021-04-19 20:12] (0001/2297) KR모터스 스크랩 완료
[2021-04-19 20:12] (0002/2297) 경방 스크랩 완료
[2021-04-19 20:12] (0003/2297) 메리츠화재 스크랩 완료
[2021-04-19 20:12] (0004/2297) 삼양홀딩스 스크랩 완료
[2021-04-19 20:12] (0005/2297) 하이트진로 스크랩 완료
[2021-04-19 20:12] (0006/2297) 유한양행 스크랩 완료
[2021-04-19 20:12] (0007/2297) CJ대한통운 스크랩 완료
[2021-04-19 20:12] (0008/2297) 하이트진로홀딩스 스크랩 완료
[2021-04-19 20:12] (0009/2297) 두산 스크랩 완료
[2021-04-19 20:12] (0010/2297) 성창기업지주 스크랩 완료
[2021-04-19 20:12] (0011/2297) DL 스크랩 완료
[2021-04-19 20:12] (0012/2297) 유유제약 스크랩 완료
[2021-04-19 20:12] (0013/2297) 일동홀딩스 스크랩 완료
[2021-04-19 20:12] (0014/2297) 한국앤컴퍼니 스크랩 완료
[2021-04-19 20:12] (0015/2297) 삼천당제약 스크랩 완료
[2021-04-19 20:12] (0016/2297) 기아 스크랩 완료
[2021-04-19 20:12] (0017/2297) 대유플러스 스크랩 완료
[2021-04-19 20:12] (0018/2297) 노루홀딩스 스크랩 완료
[2021-04-19 20:12] (0019/2297) 한화손해보험 스크랩 완료
[2021-04-19 20:12] (0020/2297) 삼화페인트공업 스크랩 완료
[2021-04-19 20:12] (0021/2297) 롯데손해보험 스크랩 완료
[2021-04-19 20:12] (0022/2297) 대원강업 스크랩 완료
[2021-04-19 20:12] (0023/2297) 중앙에너비스 스크랩 완료
