[2021-05-24 19:20] stock_info 스크랩 시작!
[2021-05-24 19:20] (KRX신규상장종목) 업데이트 체크 시작
[2021-05-24 19:20] (KRX신규상장종목) 업데이트 체크 종료
[2021-05-24 19:20] (KRX상장폐지종목) 업데이트 체크 시작
[2021-05-24 19:20] (KRX상장폐지종목) 업데이트 체크 종료
[2021-05-24 19:20] (0000/2309) 동화약품 스크랩 완료
[2021-05-24 19:20] (0001/2309) KR모터스 스크랩 완료
[2021-05-24 19:20] (0002/2309) 경방 스크랩 완료
[2021-05-24 19:20] (0003/2309) 메리츠화재 스크랩 완료
[2021-05-24 19:20] (0004/2309) 삼양홀딩스 스크랩 완료
[2021-05-24 19:20] (0005/2309) 하이트진로 스크랩 완료
[2021-05-24 19:20] (0006/2309) 유한양행 스크랩 완료
[2021-05-24 19:20] (0007/2309) CJ대한통운 스크랩 완료
[2021-05-24 19:20] (0008/2309) 하이트진로홀딩스 스크랩 완료
[2021-05-24 19:20] (0009/2309) 두산 스크랩 완료
[2021-05-24 19:20] (0010/2309) 성창기업지주 스크랩 완료
[2021-05-24 19:20] (0011/2309) DL 스크랩 완료
[2021-05-24 19:20] (0012/2309) 유유제약 스크랩 완료
[2021-05-24 19:20] (0013/2309) 일동홀딩스 스크랩 완료
[2021-05-24 19:20] (0014/2309) 한국앤컴퍼니 스크랩 완료
[2021-05-24 19:20] (0015/2309) 삼천당제약 스크랩 완료
[2021-05-24 19:20] (0016/2309) 기아 스크랩 완료
[2021-05-24 19:20] (0017/2309) 대유플러스 스크랩 완료
[2021-05-24 19:20] (0018/2309) 노루홀딩스 스크랩 완료
[2021-05-24 19:20] (0019/2309) 한화손해보험 스크랩 완료
[2021-05-24 19:20] (0020/2309) 삼화페인트공업 스크랩 완료
[2021-05-24 19:20] (0021/2309) 롯데손해보험 스크랩 완료
[2021-05-24 19:20] (0022/2309) 대원강업 스크랩 완료
[2021-05-24 19:20] (0023/2309) 중앙에너비스 스크랩 완료
[2021-05-24 19:20] (0024/2309) 조선내화 스크랩 완료
[2021-05-24 19:20] (0025/2309) 대동 스크랩 완료
[2021-05-24 19:20] (0026/2309) 가온전선 스크랩 완료
[2021-05-24 19:20] (0027/2309) 삼일제약 스크랩 완료
[2021-05-24 19:20] (0028/2309) 흥국화재 스크랩 완료
[2021-05-24 19:20] (0029/2309) CS홀딩스 스크랩 완료
[2021-05-24 19:20] (0030/2309) 동아쏘시오홀딩스 스크랩 완료
[2021-05-24 19:20] (0031/2309) 천일고속 스크랩 완료
[2021-05-24 19:20] (0032/2309) SK하이닉스 스크랩 완료
[2021-05-24 19:20] (0033/2309) 영풍 스크랩 완료
[2021-05-24 19:20] (0034/2309) LS네트웍스 스크랩 완료
[2021-05-24 19:20] (0035/2309) 유수홀딩스 스크랩 완료
[2021-05-24 19:20] (0036/2309) 현대건설 스크랩 완료
[2021-05-24 19:20] (0037/2309) 이화산업 스크랩 완료
[2021-05-24 19:20] (0038/2309) 삼성화재해상보험 스크랩 완료
[2021-05-24 19:20] (0039/2309) 화천기공 스크랩 완료
[2021-05-24 19:20] (0040/2309) 강남제비스코 스크랩 완료
[2021-05-24 19:20] (0041/2309) 한화 스크랩 완료
[2021-05-24 19:20] (0042/2309) 보해양조 스크랩 완료
[2021-05-24 19:20] (0043/2309) 유니온 스크랩 완료
[2021-05-24 19:20] (0044/2309) 전방 스크랩 완료
[2021-05-24 19:20] (0045/2309) 한국주철관공업 스크랩 완료
[2021-05-24 19:20] (0046/2309) DB하이텍 스크랩 완료
[2021-05-24 19:20] (0047/2309) 신라섬유 스크랩 완료
[2021-05-24 19:20] (0048/2309) 페이퍼코리아 스크랩 완료
[2021-05-24 19:20] (0049/2309) CJ 스크랩 완료
[2021-05-24 19:20] (0050/2309) JW중외제약 스크랩 완료
[2021-05-24 19:20] (0051/2309) 대한방직 스크랩 완료
[2021-05-24 19:20] (0052/2309) 만호제강 스크랩 완료
[2021-05-24 19:20] (0053/2309) LG상사 스크랩 완료
[2021-05-24 19:20] (0054/2309) 대한제분 스크랩 완료
[2021-05-24 19:20] (0055/2309) 국보 스크랩 완료
[2021-05-24 19:20] (0056/2309) 유진증권 스크랩 완료
[2021-05-24 19:20] (0057/2309) 금호전기 스크랩 완료
[2021-05-24 19:20] (0058/2309) 동국제강 스크랩 완료
[2021-05-24 19:20] (0059/2309) GS글로벌 스크랩 완료
[2021-05-24 19:20] (0060/2309) 남광토건 스크랩 완료
[2021-05-24 19:20] (0061/2309) 부국증권 스크랩 완료
[2021-05-24 19:20] (0062/2309) 상상인증권 스크랩 완료
[2021-05-24 19:20] (0063/2309) 백광산업 스크랩 완료
[2021-05-24 19:20] (0064/2309) 삼성제약 스크랩 완료
[2021-05-24 19:20] (0065/2309) SG글로벌 스크랩 완료
[2021-05-24 19:20] (0066/2309) KG케미칼 스크랩 완료
[2021-05-24 19:20] (0067/2309) 태원물산 스크랩 완료
[2021-05-24 19:20] (0068/2309) 세아베스틸 스크랩 완료
[2021-05-24 19:20] (0069/2309) 대한전선 스크랩 완료
[2021-05-24 19:20] (0070/2309) 현대해상 스크랩 완료
