[2021-05-10 16:10] stock_info 스크랩 시작!
[2021-05-10 16:10] (KRX신규상장종목) 업데이트 체크 시작
[2021-05-10 16:10] (KRX신규상장종목) 하이제6호스팩 스크랩 완료
[2021-05-10 16:10] (KRX신규상장종목) 업데이트 체크 종료
[2021-05-10 16:10] (KRX상장폐지종목) 업데이트 체크 시작
[2021-05-10 16:10] (KRX상장폐지종목) 업데이트 체크 종료
[2021-05-10 16:10] (0000/2301) 동화약품 스크랩 완료
[2021-05-10 16:10] (0001/2301) KR모터스 스크랩 완료
[2021-05-10 16:10] (0002/2301) 경방 스크랩 완료
[2021-05-10 16:10] (0003/2301) 메리츠화재 스크랩 완료
[2021-05-10 16:10] (0004/2301) 삼양홀딩스 스크랩 완료
[2021-05-10 16:10] (0005/2301) 하이트진로 스크랩 완료
[2021-05-10 16:10] (0006/2301) 유한양행 스크랩 완료
[2021-05-10 16:10] (0007/2301) CJ대한통운 스크랩 완료
[2021-05-10 16:10] (0008/2301) 하이트진로홀딩스 스크랩 완료
[2021-05-10 16:10] (0009/2301) 두산 스크랩 완료
[2021-05-10 16:10] (0010/2301) 성창기업지주 스크랩 완료
[2021-05-10 16:10] (0011/2301) DL 스크랩 완료
[2021-05-10 16:10] (0012/2301) 유유제약 스크랩 완료
[2021-05-10 16:10] (0013/2301) 일동홀딩스 스크랩 완료
[2021-05-10 16:10] (0014/2301) 한국앤컴퍼니 스크랩 완료
[2021-05-10 16:10] (0015/2301) 삼천당제약 스크랩 완료
[2021-05-10 16:10] (0016/2301) 기아 스크랩 완료
[2021-05-10 16:10] (0017/2301) 대유플러스 스크랩 완료
[2021-05-10 16:10] (0018/2301) 노루홀딩스 스크랩 완료
[2021-05-10 16:10] (0019/2301) 한화손해보험 스크랩 완료
[2021-05-10 16:10] (0020/2301) 삼화페인트공업 스크랩 완료
[2021-05-10 16:10] (0021/2301) 롯데손해보험 스크랩 완료
[2021-05-10 16:10] (0022/2301) 대원강업 스크랩 완료
[2021-05-10 16:10] (0023/2301) 중앙에너비스 스크랩 완료
[2021-05-10 16:10] (0024/2301) 조선내화 스크랩 완료
[2021-05-10 16:10] (0025/2301) 대동 스크랩 완료
[2021-05-10 16:10] (0026/2301) 가온전선 스크랩 완료
[2021-05-10 16:10] (0027/2301) 삼일제약 스크랩 완료
[2021-05-10 16:10] (0028/2301) 흥국화재 스크랩 완료
[2021-05-10 16:10] (0029/2301) CS홀딩스 스크랩 완료
[2021-05-10 16:10] (0030/2301) 동아쏘시오홀딩스 스크랩 완료
[2021-05-10 16:10] (0031/2301) 천일고속 스크랩 완료
[2021-05-10 16:10] (0032/2301) SK하이닉스 스크랩 완료
[2021-05-10 16:10] (0033/2301) 영풍 스크랩 완료
[2021-05-10 16:10] (0034/2301) LS네트웍스 스크랩 완료
[2021-05-10 16:10] (0035/2301) 유수홀딩스 스크랩 완료
[2021-05-10 16:10] (0036/2301) 현대건설 스크랩 완료
[2021-05-10 16:10] (0037/2301) 이화산업 스크랩 완료
[2021-05-10 16:10] (0038/2301) 삼성화재해상보험 스크랩 완료
[2021-05-10 16:10] (0039/2301) 화천기공 스크랩 완료
[2021-05-10 16:10] (0040/2301) 강남제비스코 스크랩 완료
[2021-05-10 16:10] (0041/2301) 한화 스크랩 완료
[2021-05-10 16:10] (0042/2301) 보해양조 스크랩 완료
[2021-05-10 16:10] (0043/2301) 유니온 스크랩 완료
[2021-05-10 16:10] (0044/2301) 전방 스크랩 완료
[2021-05-10 16:10] (0045/2301) 한국주철관공업 스크랩 완료
[2021-05-10 16:10] (0046/2301) DB하이텍 스크랩 완료
[2021-05-10 16:10] (0047/2301) 신라섬유 스크랩 완료
[2021-05-10 16:10] (0048/2301) 페이퍼코리아 스크랩 완료
[2021-05-10 16:10] (0049/2301) CJ 스크랩 완료
[2021-05-10 16:10] (0050/2301) JW중외제약 스크랩 완료
[2021-05-10 16:10] (0051/2301) 대한방직 스크랩 완료
[2021-05-10 16:10] (0052/2301) 만호제강 스크랩 완료
[2021-05-10 16:10] (0053/2301) LG상사 스크랩 완료
[2021-05-10 16:10] (0054/2301) 대한제분 스크랩 완료
[2021-05-10 16:10] (0055/2301) 국보 스크랩 완료
[2021-05-10 16:10] (0056/2301) 유진증권 스크랩 완료
[2021-05-10 16:10] (0057/2301) 금호전기 스크랩 완료
[2021-05-10 16:10] (0058/2301) 동국제강 스크랩 완료
[2021-05-10 16:10] (0059/2301) GS글로벌 스크랩 완료
[2021-05-10 16:10] (0060/2301) 남광토건 스크랩 완료
[2021-05-10 16:10] (0061/2301) 부국증권 스크랩 완료
[2021-05-10 16:10] (0062/2301) 상상인증권 스크랩 완료
[2021-05-10 16:10] (0063/2301) 백광산업 스크랩 완료
[2021-05-10 16:10] (0064/2301) 삼성제약 스크랩 완료
[2021-05-10 16:10] (0065/2301) SG글로벌 스크랩 완료
[2021-05-10 16:10] (0066/2301) KG케미칼 스크랩 완료
[2021-05-10 16:10] (0067/2301) 태원물산 스크랩 완료
[2021-05-10 16:10] (0068/2301) 세아베스틸 스크랩 완료
[2021-05-10 16:10] (0069/2301) 대한전선 스크랩 완료
[2021-05-10 16:10] (0070/2301) 현대해상 스크랩 완료
[2021-05-10 16:10] (0071/2301) BYC 스크랩 완료
[2021-05-10 16:10] (0072/2301) 삼부토건 스크랩 완료
[2021-05-10 16:10] (0073/2301) 현대차증권 스크랩 완료
[2021-05-10 16:10] (0074/2301) SK증권 스크랩 완료
[2021-05-10 16:10] (0075/2301) 동양 스크랩 완료
[2021-05-10 16:10] (0076/2301) 디아이동일 스크랩 완료
[2021-05-10 16:10] (0077/2301) 안국약품 스크랩 완료
