,날짜,매매기준율
0,2021-06-25,1018.82
1,2021-06-24,1022.52
2,2021-06-23,1023.46
3,2021-06-22,1027.57
4,2021-06-21,1028.74
5,2021-06-18,1027.92
6,2021-06-17,1024.34
7,2021-06-16,1017.23
8,2021-06-15,1015.67
9,2021-06-14,1020.29
10,2021-06-11,1018.1
11,2021-06-10,1019.32
12,2021-06-09,1017.31
13,2021-06-08,1019.55
14,2021-06-07,1016.35
15,2021-06-04,1013.66
16,2021-06-03,1015.35
17,2021-06-02,1013.61
18,2021-06-01,1012.36
19,2021-05-31,1010.58
