,date,rate,2021-06-25,1128.5
1,2021-06-24,1133,,
2,2021-06-23,1136.5,,
3,2021-06-22,1135,,
4,2021-06-21,1133,,
5,2021-06-18,1132,,
6,2021-06-17,1134,,
7,2021-06-16,1118.5,,
8,2021-06-15,1118,,
9,2021-06-14,1119,,
10,2021-06-11,1116.5,,
11,2021-06-10,1116,,
12,2021-06-09,1113.5,,
13,2021-06-08,1116,,
14,2021-06-07,1112.5,,
15,2021-06-04,1116.5,,
16,2021-06-03,1114.5,,
17,2021-06-02,1113.5,,
18,2021-06-01,1109.5,,
19,2021-05-31,1108.5,,
